field,location,year,loc_year,planted,panel,genotype,continent,elevation,STD,EMD,GER,ELN,EPH,PH,P_INT,P_EXT,P_PAT,M_DEN,M_PAT,DTS,DTA,TBN,TL,PE,EH,EN,CE_20_3,DG_34_2,DG_36_4,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_35_3,PC_36_2,PC_37_3,PC_38_2,PC36_1,PE_34_2,SM_D32_1,SM_D36_1,TG_46_0,TG_46_3,TG_48_0,TG_48_1,TG_48_2,TG_48_3,TG_50_0,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_0,TG_52_1,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_1,TG_54_2,TG_54_3,TG_54_4,TG_54_5,TG_54_6,TG_54_8,TG_56_4
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-012440,SA,High,6,64,8,5,55,235,1,100,1.5,1,0.5,138,135,20,43.5,6,125,2,NA,53868,20058,115534,21843,179065,4315630,880868,42103,1610,2282,150928,64843,1048122,306668,5582,NA,45796,109701,41147,NA,3375,3266,68667,9863,NA,NA,23239,10275,NA,NA,18152,NA,25135,305556,168775,25986,43041,NA,NA,65464,147760,1206121,1492211,605121,NA,NA,27420,102641,243230,NA,NA,14075
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-018635,SA,High,8.5,64,9.5,4.5,105,203.75,2.25,87.5,2.75,1.5,1.75,113.5,111.5,15.5,43.5,8,98.5,1.5,NA,16326,4915,130172,13229,212346,3232614,1641001,16164,5278,8365,39710,206814,2277144,1092873,15012,NA,22916,32808,101928,NA,5250,9909,47804,2702,NA,NA,1257,5147,NA,NA,1590,NA,10440,70086,66130,4902,6404,NA,NA,17964,33832,233242,407796,254436,NA,NA,8720,23156,61048,NA,NA,4534
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-021797,SA,High,7,64,8,5,77,230,2,100,3,2,1,128,127,16.5,30,7,152.5,2,NA,46049,14842,189689,20920,218098,2980886,1598618,21829,1398,2181,53411,120372,1531327,974857,17237,NA,28909,99133,46076,NA,1957,2702,92621,3215,NA,NA,2105,3225,NA,NA,3228,NA,16457,142927,156184,12430,11257,NA,NA,30667,71856,670826,1414756,1158725,NA,NA,16069,45514,148339,NA,NA,5775
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-015086,SA,Low,5,64,8,3,36,160,2,50,2,2,1,139,135,29,36,5,125,2,NA,21110,12190,68579,22695,454619,4087476,1268048,19736,2768,3285,119762,182652,1814531,902959,12201,NA,27646,39049,53117,NA,3011,11369,32093,4349,NA,NA,13999,10535,NA,NA,12475,NA,24596,156530,117506,9813,20079,NA,NA,41799,78998,392205,518840,307099,NA,NA,21144,45326,97321,NA,NA,9527
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-026714,SA,Low,6,64,8,5,44,200,1.5,62.5,2,2.5,1,152.5,136,23,37,6,113.5,1,NA,19864,4808,112961,21186,181248,3736378,1257656,40278,2737,10154,41312,64440,1640403,997072,10246,NA,31756,29990,95882,NA,2466,6754,54255,3088,NA,NA,4740,3899,NA,NA,5052,NA,8407,151440,150267,14953,21309,NA,NA,47398,76378,532692,914486,591995,NA,NA,8352,73512,182926,NA,NA,14284
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-025041,Mex,Low,9.5,64,9.5,4,54.5,248.75,1.5,50,2,2.5,1,157,154.5,20.5,41,9,191,1,1193,68727,31434,65832,8684,181438,4448455,1017268,37524,8010,16710,16494,106282,2551768,1246264,15124,NA,40575,36456,81318,NA,5880,5437,166868,2818,NA,4783,7281,2010,NA,NA,6648,NA,9702,91606,40287,8786,14248,NA,NA,16762,46920,393262,584508,310203,NA,2142,7908,35398,82688,387758,406530,5160
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-007294,Mex,Low,9.5,64,10,6,64,172.5,1,62.5,2,1.5,0.5,113.5,111.5,11.5,38,9.5,72.5,1.5,802,64016,32079,49937,4993,96149,3908428,1176784,32366,6710,16238,19045,88776,3581378,1593112,14400,NA,32194,28318,50276,NA,6842,5247,234050,3676,NA,4464,1767,2506,NA,NA,1479,NA,9914,110006,45273,1752,9329,NA,NA,15744,39236,347332,541394,336692,NA,2620,7170,28440,71142,354382,396116,1507
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-012290,SA,High,7,64,7,4.5,75.5,267.5,2,87.5,2.5,2,1,138.5,136.5,16.75,39.5,7,163.75,2,NA,29464,11433,68656,12525,80094,2420090,1285284,56008,13061,8678,46766,220657,2880932,1902450,15392,NA,41284,57956,183392,12594,14462,24931,213076,6890,84909,NA,1719,24955,6604,4777,2054,33893,23158,52171,37815,8904,6572,26362,11245,31472,43722,354800,859007,364046,NA,6920,18368,36003,94121,NA,NA,6291
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-012085,SA,High,9,64,9.5,5.5,83,252.5,2,100,2,0,0,133.5,132,23,43.25,9,192.5,1.5,NA,53431,10856,87535,28494,375954,5577022,2370212,29943,2530,9298,25761,189024,3116740,1506814,23210,3885,33103,48264,80002,11761,6078,10893,56500,3095,NA,NA,1763,5406,2465,NA,1904,3261,7438,48616,35160,6038,15777,NA,2738,14309,23658,207628,339774,137765,1999,2005,9950,18846,42754,NA,NA,1748
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-014383,SA,Low,7.5,64,7.5,4.5,50.5,216,2.5,87.5,2,2.5,1,148,146,17,40.5,7.5,163.5,2,NA,25679,9895,100160,11940,274029,3579501,1021949,21060,5952,9953,46410,126688,2217188,993189,13100,NA,34068,41168,62790,NA,2505,6584,110698,2756,NA,NA,8465,2876,NA,NA,6548,NA,22349,135236,86996,10066,17364,NA,NA,41392,77016,406834,531218,286501,NA,NA,16794,43848,94274,NA,NA,8350
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-019738,SA,Low,6,64,6,5,32,193,1,50,2,3,1,155,154,26,40,5,105,1,NA,9515,5021,98472,6654,270908,3807824,1713591,39153,11392,19651,44197,140760,2259725,1041623,10823,NA,30678,20212,66854,NA,5221,7625,136033,1472,NA,NA,8114,3279,NA,NA,5978,NA,15945,50108,38440,6063,10669,NA,NA,22372,20462,123936,186599,116157,NA,NA,7501,13557,29099,NA,NA,833
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-013920,Mex,High,8,64,8,5,76,176.25,3,100,2.5,2.5,2.5,114,112,14.5,33,8,98.75,1.5,5247,39326,30568,113553,11904,372919,1432852,1091294,33814,13649,12592,51266,287072,2592306,1703382,233206,NA,46788,241544,138056,NA,6127,13214,170302,1561,NA,1856,20982,5912,NA,NA,16633,NA,10666,50516,46890,15099,33721,NA,NA,14336,28866,201692,409944,294301,NA,1245,8825,22220,58691,71444,145361,1717
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-019483,Mex,High,9.5,64,9.5,6,92.5,182.5,2,75,2.5,2.25,2.5,99.5,97.5,12,31,9.5,75,1.5,NA,20686,9736,89552,14557,355076,3051152,1214439,19762,3019,7192,34256,207194,2071116,944335,14850,NA,24766,42212,86242,NA,5029,11605,106692,2486,NA,NA,10090,4142,NA,NA,10328,NA,35032,130669,67684,14818,19736,NA,NA,67322,102762,458151,683764,385278,NA,NA,28898,62337,160509,NA,NA,11626
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-014283,SA,Low,8,64,8,4.5,55,250,2,75,2,1.5,1,148.5,145.5,16.25,38.5,7.5,167.5,1.5,11367,56996,32614,68354,9081,152281,3624546,1644428,52830,5903,12616,15586,108232,2388260,1622018,18413,NA,37224,30458,79052,NA,8103,5926,116323,5686,NA,4004,4847,2096,NA,NA,3994,NA,8100,28208,17675,6992,11150,NA,NA,12582,24353,201345,350090,259048,NA,1610,7108,22262,73246,173530,829869,2004
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-013311,SA,High,8,64,7,4.5,81,360,3.5,100,2.5,0,0,151,150.5,14,40.25,6,253.75,2.25,3991,41430,35876,51154,5872,81648,2005396,1056020,25089,5009,13565,30102,237438,2969340,1951476,19944,NA,25925,29528,96434,NA,5828,10934,152232,2605,NA,2425,1061,4015,NA,NA,1806,NA,6902,43720,20432,1492,2659,NA,NA,10392,18214,173081,366774,272788,NA,1632,5904,16744,38976,101771,204131,1165
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-021313,Mex,High,7,64,7,5,83,275,2,100,2,2,3,127,125,15.5,47.5,7,170,1,NA,21429,11920,75923,16118,366259,3594064,646815,19012,3692,3519,108960,133980,2020646,861634,10914,NA,32971,35248,85109,NA,2580,12133,29542,2310,NA,NA,3859,10596,NA,NA,1712,NA,19078,126227,80993,11123,14012,NA,NA,41167,111696,684039,888614,407687,NA,NA,25682,84510,224778,NA,NA,16696
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-018244,SA,High,9,64,9.5,4.5,86,225,2.5,75,2.5,3,1,123.5,121.5,18.5,45,9,113.5,2,NA,12207,5917,88253,4878,64960,1946052,759212,22934,8918,17361,73036,169428,3073938,1646778,25100,NA,26042,28302,145416,NA,1424,9077,237549,2126,NA,NA,2212,4336,NA,NA,1080,NA,5206,24400,16770,4458,6380,NA,NA,10914,22740,201400,320674,172629,NA,NA,9382,17598,54448,NA,NA,1285
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-013374,Mex,High,8.5,64,8.5,4.5,84.5,149,2,75,2.5,2,2.5,100,98,5.5,37,8.5,61,1,NA,18795,4293,128161,11506,84069,2309986,670728,18788,10676,15629,64160,305958,3284300,1974234,17427,NA,50154,57055,237025,17730,13272,16380,311792,1969,5870,NA,3807,2548,3562,3399,2147,3109,7240,53368,41246,9254,10711,7386,2411,17014,40560,357366,551947,174609,NA,4456,10906,31591,85888,NA,NA,9055
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-000743,Mex,Low,7.5,64,7.5,4,38.5,220,3,100,2.5,2.5,1,137.5,134,15,41.5,7.5,127.5,2,1471,95156,65326,79727,6893,120102,3181990,1065828,70752,14841,25044,49896,232396,3227978,1840781,20236,NA,65130,51976,287089,4872,19214,20364,389708,4364,35009,3698,NA,9311,7480,7935,NA,17651,10584,127318,151685,NA,19446,25215,8426,39104,63980,276234,253265,62954,NA,9540,20676,58991,91116,283236,155328,NA
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-014998,SA,Low,8.5,64,9,5,50.5,227.5,2,62.5,2,2.25,1,148,150,16.5,44,8,132.5,1.5,NA,20080,6930,114076,13776,268884,3203108,634588,50798,10957,11498,52728,172761,2869114,1779041,11801,NA,34250,44417,73476,NA,3022,12252,133652,3334,NA,NA,1767,3630,NA,NA,1525,NA,22552,57210,40184,5747,6890,NA,NA,29729,41571,236262,343906,216384,NA,NA,14094,28518,92296,NA,NA,6092
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-023628,Mex,Low,8.5,64,9,6,65,325,2,75,2.5,1,0.5,145,144.5,14,45.5,8.5,222.5,1.5,NA,18102,4443,83530,9029,183466,3500444,835984,32364,3752,11138,49968,132776,2631500,1162438,13220,NA,31320,24090,76154,NA,4322,7638,81524,2184,NA,NA,9324,5698,NA,NA,7260,NA,12160,163354,110956,7208,13209,NA,NA,34184,51638,373386,501304,253662,NA,NA,7957,37102,72761,NA,NA,5198
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-024894,SA,High,10,64,10,3,64,250,2,75,2,0,0,131,130,20,47,10,150,2,NA,NA,NA,77436,NA,268147,4789905,2848983,26568,14921,13377,16942,268477,2891762,1828484,18228,NA,38363,66519,87182,16647,7710,11847,239702,NA,21643,NA,NA,8515,10413,8364,NA,10131,17936,112203,97861,NA,12599,14417,5809,27588,55168,NA,NA,26387,NA,6215,18206,33433,92009,NA,NA,NA
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-012231,SA,High,8.5,64,9,4.5,84,227.5,3.5,93.75,2.75,2,1.5,123.5,121,22,43,8.5,115.5,1.5,NA,19865,7264,74478,5213,176294,4083817,1511016,27534,10092,11094,21983,189734,3210808,1574914,17584,NA,38440,57194,114812,11501,6654,11844,78292,1962,15237,NA,4889,6226,7131,6760,2102,7242,16123,138042,114493,6624,11350,19007,7460,28678,60058,349314,592845,213895,NA,7124,15292,42224,111015,NA,NA,1542
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-026029,SA,Low,9,64,9,5,64,285,1,50,2,2,1,147,145,20,48,9,180,2,NA,NA,NA,119563,NA,335321,5360663,1498132,30963,19310,22047,26594,327124,3835018,1772563,21685,NA,63729,93677,206205,13060,12222,19658,310753,NA,6447,NA,NA,13988,13754,14024,NA,6989,23208,129583,86611,NA,33799,13033,7426,46920,84928,NA,NA,34389,NA,10400,28318,59695,130591,NA,NA,NA
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-005339,Mex,Low,8,64,8,5,53,210,2,75,2,2,1,146,141,13,41,8,125,1,NA,50362,5217,73113,20716,155009,3802804,300827,33527,4628,4147,153709,57180,2005595,1299461,16696,NA,55086,62369,62780,NA,1443,4641,31311,4387,NA,NA,7174,3932,NA,NA,3806,NA,16533,146840,146656,5445,20132,NA,NA,48860,87110,433771,808363,672341,NA,NA,28434,54783,143349,NA,NA,2301
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-008360,SA,High,7,64,8,4,80,318.75,3,100,3,0,0,151,150,21,46.5,7,231.25,1,NA,19365,6503,58900,9792,133611,3229705,1262928,16471,4850,7548,14852,130829,1990715,1330191,14874,NA,24798,29006,54598,NA,1816,7307,114012,2435,NA,NA,5786,2803,NA,NA,4150,NA,6199,63769,59310,6801,15256,NA,NA,18304,36280,334220,657826,511074,NA,NA,6180,32620,100015,NA,NA,4226
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-022843,SA,High,7,64,6,6,54,230,1,25,2,2,1,146,146,15,39,7,160,1,NA,29747,9486,126765,10764,161934,3517646,925938,28473,4027,10556,53222,93808,2466487,1134960,13511,NA,32967,38947,74660,NA,6244,7139,101142,1287,NA,NA,4732,5399,NA,NA,2493,NA,9824,170358,116119,8259,9367,NA,NA,31900,42802,367574,503761,256596,NA,NA,1947,32691,59862,NA,NA,8076
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-002335,Mex,Low,9,64,10,4,47,NA,4,75,3,0,0,NA,NA,NA,NA,2,190,1,NA,16869,9005,76199,17531,331223,3763494,554574,24231,4954,12388,23549,135421,2457230,1031104,16952,NA,43399,48979,100684,NA,2735,10259,140287,2420,NA,NA,7484,7920,NA,NA,6676,NA,9938,45769,28763,8085,13084,NA,NA,19781,42038,269854,354606,162626,NA,NA,12119,39590,112478,NA,NA,5810
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-000861,Mex,Low,10,64,10,5,46,173,1,50,2,2,1,128,126,14,36,10,80,2,NA,19330,8380,153208,13159,270405,3390592,618041,32569,5913,14089,62139,129370,2229425,796187,95926,NA,42086,19956,67324,NA,1558,8965,136166,2121,NA,NA,8855,1575,NA,NA,8175,NA,10739,65181,39721,18821,32086,NA,NA,23787,94606,553043,546366,203820,NA,NA,16429,72782,297970,NA,NA,8466
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-021113,Mex,High,10,64,10,6,91,216,1.5,87.5,2,1,0.5,113,111,8.5,39,9,118,1,NA,8722,1835,67600,23266,191755,3492827,1184053,9778,6211,14063,23371,116332,2675106,1219350,16656,NA,29059,44916,84608,NA,7121,5480,71068,1184,NA,NA,4051,4401,NA,NA,1964,NA,6768,50484,34283,1297,5408,NA,NA,13297,31612,174537,254419,119414,NA,NA,7601,19894,53754,NA,NA,4013
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-027432,Mex,High,7,64,9,5,70,310,2,100,2,3,3,157,155,19,42,6,270,1,NA,16564,11423,78339,9304,185981,3421640,1105093,24566,2150,8071,14230,132489,2494620,1195815,15825,NA,38342,30710,66651,NA,9551,9172,69999,2398,NA,NA,10811,1992,NA,NA,9194,NA,7247,49689,40150,8495,21823,NA,NA,14593,33654,252848,404968,238906,NA,NA,9327,27215,78670,NA,NA,5810
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-025289,Mex,Low,9,64,9,5,74,270,3,100,3,2,2,150,148,23,44,9,195,1,NA,15033,6570,61594,8349,119737,3142283,1270457,30087,8176,13397,15363,105120,2419975,1426598,15146,NA,23696,29797,57361,NA,2507,6373,162118,5109,NA,NA,5808,6053,NA,NA,4994,NA,7789,56853,44878,7305,10464,NA,NA,15409,33845,253340,430744,251765,NA,NA,8660,22456,66970,NA,NA,5627
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-016818,SA,Low,5,64,5,5,51,145,2,100,2,0,0,117,114,24,45,5,94,1,2596,49232,32628,99305,9174,261867,4338652,1116418,58845,9978,26789,25463,261733,NA,2215523,17804,NA,50637,29478,98212,NA,8145,13972,129654,5177,NA,3465,NA,1947,NA,NA,NA,NA,7963,16404,NA,NA,NA,NA,NA,6601,22600,116239,181500,109314,NA,1031,4530,16764,53594,142920,216490,NA
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-008962,SA,Low,7.5,64,8,5,63,250,2,87.5,2.5,1.5,0.5,141.5,139,19,41,7.5,135,1.5,6825,61400,32530,58379,9740,144918,3798841,969553,26903,5919,13162,16597,106413,2663448,1830508,18918,NA,35201,25816,69270,NA,6872,9824,135046,5462,NA,4026,1139,2222,NA,NA,997,NA,4580,20818,11438,1482,2465,NA,NA,6063,13631,123150,261276,226636,NA,2409,4054,15889,36186,238535,690592,1225
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-028912,SA,Low,7,64,7,5,45,225,0,100,0,2,1,151,148,23,36,7,145,1,NA,14475,6392,91753,9184,225425,3097433,1118567,48636,17371,19375,14353,197298,2522170,1455413,17744,NA,23224,25275,57283,NA,1892,9198,195840,1613,NA,NA,13352,1132,NA,NA,9310,NA,13908,64816,48332,9895,18240,NA,NA,20977,51089,221828,299456,187052,NA,NA,8980,26022,69813,NA,NA,4029
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-014359,SA,High,8.5,64,8,5.5,73,182.5,2,75,2,2,1,123.5,122.5,18,33,8,101.25,1,NA,26365,8274,103729,7150,174236,3432604,820640,22280,11438,17652,21523,225292,3602279,1721884,23437,NA,35264,47379,157081,9896,6262,8490,131460,3241,5584,NA,5902,8843,6608,7542,5865,3340,17672,110286,72982,8474,14868,9720,8432,38957,72340,272787,545946,193182,NA,10673,18742,64235,156066,NA,NA,4062
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-024483,SA,High,9.5,64,8,5,66,181.25,1.5,31.25,2.25,1.5,1,119,117,10.5,35.5,9.5,96.5,2,NA,18878,9220,92850,6711,54144,1503094,514312,12508,8260,14933,45706,224826,3002080,1465220,19940,NA,19666,35504,118889,NA,2582,12724,163208,2266,NA,NA,7066,8463,NA,NA,6394,NA,16534,167506,125288,10246,13848,NA,NA,44886,95048,532188,781568,411275,NA,NA,22706,60266,144535,NA,NA,7662
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-012291,SA,High,9,64,9,6,101,262.5,2,50,2,0,0,114,112,24,44,9,137.5,2,NA,16589,10422,113859,15291,238911,3180987,847093,21527,4775,10404,63474,208186,2617789,1091304,16091,NA,31104,43975,119810,NA,11079,11606,41510,3216,NA,NA,5559,5292,NA,NA,1515,NA,11379,139296,82743,8253,9947,NA,NA,26718,40372,435362,588065,272683,NA,NA,10181,36578,72945,NA,NA,5479
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-014453,SA,Low,4,64,4,3,66,232.5,1,25,2,0,0,NA,NA,NA,NA,3,135,0.5,NA,10562,2094,65401,6327,105574,2671530,1685653,19073,7733,16699,22908,156969,3066466,2346705,27961,NA,37708,29283,60542,NA,8150,7275,145493,6378,NA,NA,1301,9130,NA,NA,660,NA,11792,26950,24837,1898,2397,NA,NA,10872,12125,105343,256023,234981,NA,NA,6004,7572,19457,NA,NA,1077
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-023971,Mex,Low,8,64,8,6,57,200,4,100,2,3,1,128,126,9,37,8,85,2,NA,18136,10634,68582,8195,157153,2852476,1023617,44905,9429,23176,15931,188290,2643193,995311,15791,NA,34439,18737,115107,NA,6742,10520,277434,1080,NA,NA,24577,743,NA,NA,16301,NA,6600,57094,42326,14721,48600,NA,NA,19697,41822,283768,360485,176183,NA,NA,9149,33960,87496,NA,NA,6644
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-011857,SA,Low,7,64,8,5,42,175,2,75,2,2,1,139,138,18,38,7,120,2,NA,10080,6160,120405,13019,257426,3045526,1001319,29008,9087,14699,55903,196306,2507109,1349209,20049,NA,43286,31711,154556,NA,10858,15296,116996,1887,NA,NA,28108,5798,NA,NA,17149,NA,13411,42474,38220,11078,29952,NA,NA,21317,31749,136628,224441,153122,NA,NA,24980,29054,53717,NA,NA,1286
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-016642,Mex,High,10,64,10,6,87,225,1,75,2,2,1,112,110,12,39,10,75,1,NA,23378,8708,83901,13890,193929,2875743,791913,16434,3516,16010,17537,150507,2634086,1207389,22903,NA,29321,94829,116251,NA,2720,9554,102211,504,NA,NA,52913,6315,NA,NA,38548,NA,13503,150271,126616,25915,73283,NA,NA,33028,55173,341529,534847,296855,NA,NA,13393,35479,74193,NA,NA,7070
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-014996,SA,High,10,64,10,5,84,202.5,2.5,87.5,2.5,2,1,113.5,110.5,18,44.5,10,80,1,9801,42878,31913,72670,7962,42857,1675644,1023664,16086,6989,9825,24268,200130,3290021,1906550,17437,NA,29674,31536,174805,NA,10305,10184,219331,3564,NA,3441,968,2000,NA,NA,1563,NA,8774,73848,103477,6134,4735,NA,NA,17884,42536,368646,649886,286455,NA,1343,9874,38036,96228,252212,478799,7799
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-026034,SA,Low,9,64,9,5,48,210,2,100,3,0,0,151,148,19,41,9,130,1,NA,21563,9347,98541,3584,146405,3231412,544647,25051,11841,21674,112158,155242,2943320,1248029,14019,NA,33043,42531,66078,NA,3098,9227,150095,2054,NA,NA,18131,2649,NA,NA,12938,NA,15619,62542,34979,12738,28297,NA,NA,27744,76365,319086,348031,165882,NA,NA,16463,47996,133047,NA,NA,6212
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-007876,SA,Low,7,64,6,4,44,240,2,100,2,3,2,157,NA,29,42,5,190,1,NA,NA,NA,96125,NA,178609,4456353,1277274,54611,19167,19614,23738,276545,4055275,2103798,14585,NA,63541,74415,257921,14124,18458,21328,376316,NA,33805,NA,NA,13900,6805,5262,NA,16034,12243,89890,61708,NA,6645,24118,5817,29403,41538,NA,NA,18110,NA,7821,17404,35730,70027,NA,NA,NA
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-008025,SA,High,6.5,64,7,4,53.5,157.5,2.5,100,2,2.5,1,105.5,103,10,36,6.5,65,1.5,NA,27652,10971,74182,5562,46048,2244686,814622,27461,9266,19295,26963,106878,2932146,1710584,16652,NA,43579,41315,83278,NA,4702,4750,203134,3274,NA,NA,3028,5671,NA,NA,2782,NA,9228,81612,56422,5142,6404,NA,NA,22112,32149,286162,502920,327104,NA,NA,10048,25475,58218,NA,NA,1163
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-027102,Mex,High,8.5,64,8.5,4,80,174,1.5,75,2.5,2.5,2.5,100.5,98.5,3,39.5,8.5,77.5,1,2207,86208,48828,79166,6991,93651,2234720,964288,16385,3620,7910,19442,158629,1778640,1975291,21846,NA,30748,44402,61758,NA,8842,7304,179432,3434,NA,3705,18423,5932,NA,NA,12992,NA,46330,150314,147682,14985,29828,NA,NA,75168,57056,383278,836338,657408,NA,4775,27897,39066,88859,69704,242602,13441
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-018676,SA,High,10,64,10,5,56,191,2,75,2,2,1,138,135,20,41.5,9,100,1,NA,14199,7784,151221,14956,152461,2907362,714721,67932,20468,31396,22288,141930,2751708,1521855,19572,NA,37546,31535,98623,NA,10000,10881,201313,4668,NA,NA,7101,5049,NA,NA,4703,NA,7397,60162,54130,5572,11382,NA,NA,15752,22999,182271,330082,236805,NA,NA,8335,18417,44858,NA,NA,4662
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-026062,SA,Low,8,64,8,5.5,44,245,2,75,2.5,2.5,1,153,152,24.5,38,7,166,1.5,NA,36161,11881,96602,8505,140685,3494792,610227,57601,18861,24854,48374,243857,4051446,1860364,17014,NA,50156,32720,142988,11317,8434,15724,138626,3336,21473,NA,2988,25743,5976,7150,1610,34585,15288,124084,81644,2828,12440,22973,7018,30248,49670,235452,403069,145314,NA,12412,14483,37896,68784,NA,NA,1652
